"","x"
"1",-0.297075327758984
"2",-0.179373762354734
"3",-0.312613490897067
"4",-0.167133388684566
"5",0.0365315762548376
"6",0.177565601065842
"7",0.250171843448973
"8",0.261975669362333
"9",-0.302192469830483
"10",-0.178111293494705
"11",-0.168959191886545
"12",0.107274371676671
"13",-0.14009469166483
"14",0.507327889981783
"15",0.385070601631736
"16",0.0892285377000127
"17",-0.0736101564801063
"18",-0.174115020600181
"19",-0.0765627197274344
"20",0.292942736081117
"21",0.0133490402742003
"22",0.0824318758291921
"23",0.0516265338503337
"24",-0.0900163205194325
"25",0.0251049297843847
"26",0.0815601933653588
"27",0.245616665792458
"28",0.0369482157888866
"29",0.139845239720144
"30",-0.0192145009294155
"31",-0.378505335206839
"32",0.0389439986840145
"33",0.0806811547312485
"34",3.03609608635604
"35",-2.05486018574769
"36",-1.17292945679064
"37",-2.64180853514522
"38",6.2203533587958
"39",0.726740269965603
"40",0.448491081660752
"41",-2.21517366158865
"42",-1.09417196566894
"43",-6.96552649878562
"44",0.223036217480302
"45",3.2607884346337
"46",-0.221138018177368
"47",-0.094422178900097
"48",0.101573838483506
"49",0.399988864042342
"50",0.263979807518765
"51",-0.319900487540274
"52",-0.204081790826839
"53",0.275551862657723
"54",-0.340821867076442
"55",0.0564911232643221
"56",0.33091169136249
"57",0.346911635404356
"58",0.632078070701601
"59",-0.424458462215586
"60",0.866505741791069
"61",-0.205683392926139
"62",0.0460362020674883
"63",0.522230317534064
"64",-0.0476401457020409
"65",1.43684004838196
"66",-0.322717171768619
"67",0.01435087393476
"68",0.486294902084047
"69",-0.0585946430669541
"70",0.007108164968347
"71",0.0647272153439363
"72",-0.0554926617140559
"73",0.0721149104441463
"74",-0.259959581681145
"75",-0.0477604488042548
"76",-0.0487902494292092
"77",-0.184568718594482
"78",-0.0713806934622598
"79",-0.134791450918901
"80",-0.169424144206923
"81",-0.0442361599654903
"82",-0.0537033083693801
"83",0.158547311807141
"84",-0.0338973048595067
"85",-0.0810123918692344
"86",0.163237996698909
"87",-0.236242686636058
"88",-0.00622423104103433
"89",0.0441848784788115
"90",-0.0956728834078974
"91",-0.0444026935291322
"92",-0.085819006933617
"93",-0.0871209475889212
"94",-0.04771011221614
"95",-0.00501663982134719
"96",0.297587566341772
"97",-0.125925937442028
"98",0.173965682195818
"99",-0.164003055351886
"100",0.135701786764987
"101",0.130756879690038
"102",-0.155708098228457
"103",-0.0709036553813603
"104",0.197074228231984
"105",-0.0699423945190797
"106",0.0463820415311441
"107",-0.0432650848184725
"108",0.134623860755124
"109",-0.110427926224097
"110",0.0917838813112235
"111",-0.0635297188139019
"112",0.055524689715355
"113",-0.0971362206410249
"114",0.102052212564065
"115",0.166144863922645
"116",0.0370109588671674
"117",0.020901145979898
"118",0.057879267627823
"119",-0.0496203915380133
"120",-0.0790013165111073
"121",-0.0234708665463117
"122",0.166702232611632
"123",-0.0743528304407135
"124",0.0826857428973753
"125",-0.0962378652304718
"126",0.069761494668966
"127",0.0156983001343665
"128",-0.0567243598951958
"129",-0.136828305318343
"130",-0.0499883139642712
"131",-0.0470795005389385
"132",0.154166401887219
"133",0.020802544664839
"134",0.173806003679248
"135",-0.15469836749336
"136",-0.00338892992582076
"137",0.0225433289830278
"138",0.0286048591433253
"139",-0.100080861345391
